first_schema;e1;e2;score
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_banana;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/13;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/sulphurous__rotten__fecal_fecal;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/138;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/sweet_rose;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/15;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/floral_violet;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/16;0.853101639128867
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/herbal_lavender;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/17;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/animalistic_musk;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/19;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_lemon;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/2;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_cherry;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/24;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/spicy;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/28;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_cloves;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/29;0.8286185483382901
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_cinnamon;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/30;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fresh_green_laurel;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/31;0.7370940625583764
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_tea;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/32;0.7471908042786453
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_orange;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/4;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fresh_green_camphor;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/43;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_vanilla;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/46;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/sweet_frankincense;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/47;0.7268572187110729
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/industrial_gasoline;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/58;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fresh_green;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/62;0.8353110223428688
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/sulphurous__rotten__fecal_sour_buttermilk;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/71;0.8460518023191623
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_apple;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/9;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_coffee;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/94;1.0
historical-scent;http://data.odeuropa.eu/vocabulary/historical-scent/gourmand__food_milk;http://data.odeuropa.eu/vocabulary/dravnieks/descriptors/97;0.7432809884482854
drom;http://data.odeuropa.eu/vocabulary/drom/castoreum_absolute;http://data.odeuropa.eu/vocabulary/historical-scent/animalistic_castoreum;0.8262996646372671
drom;http://data.odeuropa.eu/vocabulary/drom/patchouly_oil;http://data.odeuropa.eu/vocabulary/historical-scent/earthy__mineral_patchouli;0.79774708877456
