ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY,
534,Drink,Drankje,,,,
535,Alcoholic drink,Alcoholische drank,,,,
536,Ointment,Zalf,,,,
537,Breath,Adem,,,,
538,Steam,Waterdamp,,,,
539,Person,Persoon,,,,
540,Man,Man,,,,
541,Woman,,,,,
542,Worm,,,,,
543,Algae,,,,,
544,Cookie,,,,,
545,Mimosa,,,,,
546,Prayer nut,,,,,
547,Ammonia soap,,,,,
548,Incense ship,,,,,
549,Tobacco grater,,,,,
550,Reseda,,,,,
551,Orange blossom,,,,,
552,Heliotropium,,,,,
553,Spermaceti,,,,,
554,Artefact,,,,,
555,Being,,,,,
556,Animal raw material,,,,,
557,,,,,,
558,Fragrance / Cosmetic,,,,,
559,Nature,,,,,
560,Flora,,,,,
561,Cloth,,,,,
562,Element,,,,,
563,Abstract,,,,,
564,Religion,,,,,
565,Bodily fluid,Lichaamsvocht,,,,
566,Beaver hat,,,,,
567,Ranunculus,Boterbloem,,,,
568,Chess flower,Wilde kievitsbloem,,,,
569,Dandelion,Paardenbloem,,,,
570,Snowflake,Narcisklokje,,,,
571,Big cat,,,,,
572,Jan Steen jug,,,,,
573,Bellflower,Klokje,,,,
574,Pot,,,,,
575,Daisy,Madeliefje,,,,
576,Beer stein,Bierpul,,,,
577,Wastewater,Afvalwater,,,,
578,Duck,Eenden,,,,
579,Agapanthus,,,,,
580,Antilopinae,,,,,
581,Armadillo,,,,,
582,Banana,,,,,
583,Belt,,,,,
584,Boar,,,,,
585,Calla Lily,,,,,
586,Chrysanthemum,,,,,
587,Cocoa pot,,,,,
588,Cone,,,,,
589,Crown,,,,,
590,Elephant,,,,,
591,Epidendrum,,,,,
592,Ewer,,,,,
593,Ferret,,,,,
594,Fox,,,,,
595,Galanthus,,,,,
596,Gas lamp,,,,,
597,Gerbera,,,,,
598,Hair jewelry,,,,,
599,Hedgehog,,,,,
600,Hibiscus,,,,,
601,Maggot,,,,,
602,Milk can,,,,,
603,Runner bean,,,,,
604,Samovar,,,,,
605,Squid,,,,,
606,Squirrel,,,,,
607,Starfish,,,,,
608,Tangerine,,,,,
609,Tomato,,,,,
610,Torch,,,,,
611,Watch,,,,,
612,Gas,,,,,
613,Hydrogen sulfide,,,,,
614,Earth,,,,,
615,Fumes,,,,,
616,Matter,,,,,
617,Substance,,,,,
618,Fluid,,,,,
619,Acid,,,,,
620,Material,,,,,
621,Essence,,,,,
622,Pus,,,,,
623,Liquid,,,,,
624,Powder,,,,,
625,Bark,,,,,
626,Shrub,,,,,
627,Corruption,,,,,
628,Skin,,,,,
629,Gum,,,,,
630,Opium,,,,,
631,Product,,,,,
632,Mouth,,,,,
633,Chlorine,,,,,
634,Salammoniac,,,,,
635,Chloroform,,,,,
636,Ether,,,,,
637,Bitter almond,,,,,
638,Alcohol,,,,,
639,Hair,,,,,
640,Sugar,,,,,
641,Sputum,,,,,
642,Cinchona,,,,,
643,Bulb,,,,,
644,Arsenic,,,,,
645,Weed,,,,,
646,Toothpaste,,,,,
647,Humor,,,,,
648,Vapour,,,,,
649,Gland,,,,,
650,Dust,,,,,
651,White flower,,,,,
652,Aloe,,,,,
653,Aromatic,,,,,
654,Lochia,,,,,
655,Dressing,,,,,
656,Prussic acid,,,,,
657,Spirit,,,,,
658,Stem,,,,,
659,Extract,,,,,
660,Volatile oil,,,,,
661,Honeysuckle,,,,,
662,Melissa,,,,,
663,Fat,,,,,
664,Iodine,,,,,
665,Valerian,,,,,
666,houblon,,,,,
667,phosphorus,,,,,
668,bergamot,,,,,
669,,,,,,
670,Verbena,,,,,
671,Dye,,,,,
672,Tannin,,,,,
673,Hawthorn,,,,,
674,hydrochloric acid,,,,,
675,berry,,,,,
676,sewage,,,,,
677,Ginger,,,,,
678,Mud,,,,,
679,Infusion,,,,,
680,Lime,,,,,
681,Carbon disulfide,,,,,
682,,,,,,
